990| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
99| Netl: A System For Representing And Using Real-World Knowledge. | MIT Press, | Cambridge, MA, || 1979.||||||||||||67| Scott E. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
989| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
988| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
"987| ""Instance-Based Learning Algorithms,"" | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6, | 37-66, |||||| 1991. || January |581| Aha, D., Kibler, D., and Albert, M., ";;;;;;;;;;;;;;;;;;;;;;;
986| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
985| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
984| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
983| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
982| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
981| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
980| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
98| NETL: A System for Representing and Using Real-World Knowledge. | The MIT Press, | Cambridge, Massachusetts, || 1979. ||||||||||||67| S. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
979| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
978| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and J. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
977| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6: | 37-66, |||||| 1991. || January |581| D. Aha, D. Kibler, and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
976| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D W Aha, D Kibler, and M K Albert. ;;;;;;;;;;;;;;;;;;;;;;;
975| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
974| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
973| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
972| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
971| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
970| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
97| NETL: A System for Representing and Using Real World Knowledge, | MIT Press, | Cambridge, MA, || 1979. ||||||||||||67| S. Fahlman, ;;;;;;;;;;;;;;;;;;;;;;;
969| Noise-tolerant instance-based learning algorithms. |||||Machine Learning, | 8:|794-799,|||||| 1991. |||554| D. Aha and D. Kibler. ;;;;;;;;;;;;;;;;;;;;;;;
968|. Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991)|| January |581| D.W. Aha, D. Kibler and M.K. Albert ;;;;;;;;;;;;;;;;;;;;;;;
967| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
966| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
965| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
964| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
963| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6:|37 -66,|||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
962| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
961| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
960| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and Marc K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
96| NETL: A system for representing and using real-world knowledge. | MIT Press, | Cambridge, MA, U.S.A., || 1979. ||||||||||||67| S.E. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
959| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D.W. Aha, D. Kibler, and M.K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
958| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D.W. Aha, D. Kibler, and M.K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
957| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D.W. Aha, D. Kibler, and M.K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
956| Instancebased learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
955| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
954| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
953| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
952| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
951| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
950| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
95| NETL: A System for Representing and Using Real World Knowledge, | MIT Press, | Cambridge, MA, || 1979. ||||||||||||67| S.E. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
949| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
948| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
947| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
946| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D. W. Aha, D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
945| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. Aha, D. Kibler, and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
944| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66, |||||| 1991. || January |581| D. Aha, D. Kibler, and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
943| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D W Aha, D Kibler, and M K Albert. ;;;;;;;;;;;;;;;;;;;;;;;
942| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66, |||||| 1991. || January |581| D Aha, D Kibler, and M Albert. ;;;;;;;;;;;;;;;;;;;;;;;
941| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
940| Instance-based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
94| NETL: A System for Representing and Using Real-World Knowledge. | MIT Press, | Cambridge, Ma, || 1977. ||||||||||||67| S. E. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
939|Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6: | 37-66. |||||| (1991) || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
938| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| 1991. || January |581| David W. Aha, Dennis Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
937| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6(1) | 37-66. |||||| (1991)|| January |581| D. W. Aha, D. Kibler & M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
936| (1991) Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6(1) | 37-66. |||||| 1991. || January |581| D. W. Aha, D. Kibler & M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
935| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6 | 37-66. |||||| 1991. || January |581| Aha, D.W.; Kibler, D.; and Albert, M.K. ;;;;;;;;;;;;;;;;;;;;;
934| Instance-based learning algorithms, | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991)|| January |581| Aha, D.W., Kibler, D., & Albert, M.K.  ;;;;;;;;;;;;;;;;;;;;;;;
933| Instance-based learning algorithms, | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991)|| January |581| Aha, D.W., Kibler, D., & Albert, M.K.  ;;;;;;;;;;;;;;;;;;;;;;;
932| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6 | 37-66. |||||| 1991. || January |581| Aha, D.; Kibler, D.; and Albert, M. ;;;;;;;;;;;;;;;;;;;;;
931| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6 | 37-66. |||||| 1991. || January |581| Aha, D.; Kibler, D.; and Albert, M. ;;;;;;;;;;;;;;;;;;;;;
930| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 7 | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
93| NETL: A System for Representing and Using Real-World Knowledge. | MIT Press, | Massachusetts, || 1979. ||||||||||||67| S. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
929| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
928| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
927| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991)|| January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
926|Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991) || January |581| Aha, D., Kibler, D., and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
925| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., & Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
924| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., & Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
923| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., & Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
922| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 (1), | 37-66. |||||| (1991). || January |581| Aha, D., Kibler, D., & Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
921| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6 | 37-66. |||||| 1991. || January |581| Aha, D., Kibler, D. and Albert, M. ;;;;;;;;;;;;;;;;;;;;;;;
920| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| 1991. || January |581| Aha, D., D. Kibler, and M. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
"92| ""NETL: A System for Representing and Using Real World Knowledge"", | MIT Press, | Cambridge, MA, || 1979. ||||||||||||67| Fahlman, S.E., ";;;;;;;;;;;;;;;;;;;;;;;
919| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Mac hine Learning |6:| 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and, Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
918| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6(1) | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
917| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6(1) | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
916| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6(1) | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
915| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
914| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
913| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
912| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning |6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
911| Instance-based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6 | 37-66. |||||| 1991. || January |581| Aha, D. W.; Kibler, D.; and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;
910| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| 1991. || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
91| NETL, A System For Representing And Using Real-World Knowledge. | The MIT Press, | Cambridge, MA, || 1979. ||||||||||||67| Scott E Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
909| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| 1991. || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
908| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| 1991. || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
907| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6, | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
906| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
905| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
904| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6(1) | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
903| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
902| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D., and Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
901| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D. & Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
900| Instance-Based Learning Algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning, | 6 | 37-66. |||||| (1991). || January |581| Aha, D. W., Kibler, D. & Albert, M. K. ;;;;;;;;;;;;;;;;;;;;;;;
90| NETL: A System for Representing and Using Real-World Knowledge. | The MIT Press, | Cambridge, Mas-sachusetts, || 1979. ||||||||||||67| S. Fahlman. ;;;;;;;;;;;;;;;;;;;;;;;
9| Robots and Manufacturing Automation. | John Wiley and Sons, | New York, | second edition, | 1992. ||||||||||||1940| C. Ray Asfahl. ;;;;;;;;;;;;;;;;;;;;;;;
899| Instance-based learning algorithms. | Kluwer Publishers. | Boston, MA: | Draft submission to Machine Learning. || Machine Learning| 6: | 37-66. |||||| 1991. || January |581| Aha, D. W., D. Kibler, and M. K. Albert. ;;;;;;;;;;;;;;;;;;;;;;;
